,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
0,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.resourceloader,InjectableResourceProducer,13,80,5,3,5,23,4,7,0,7
1,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.resourceloader,ResourceLoaderExtension,26,0,0,0,6,0,3,0,3,0
2,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigSnapshotImpl,0,9,0,0,0,4,0,2,0,2
3,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,EnvironmentPropertyConfigSourceProvider,19,55,1,5,3,13,1,5,0,3
4,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigurationExtension.DynamicBean,0,55,0,0,0,16,0,12,0,12
5,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ProxyConfigurationLifecycle.ConfigurationHandler,49,235,16,36,14,61,16,12,0,2
6,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,SystemPropertyConfigSource,2,7,0,0,1,3,1,1,1,1
7,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigImpl,61,279,8,26,9,63,7,25,0,15
8,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigHelperImpl,6,78,4,12,2,20,3,8,0,3
9,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ProxyConfigurationLifecycle.DefaultSupplier,0,10,0,0,0,4,0,2,0,2
10,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,DeltaSpikeConfigInfo.ConfigEntry,24,0,0,0,8,0,4,0,4,0
11,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,DefaultConfigPropertyProducer,44,30,0,0,7,6,3,6,3,6
12,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,MapConfigSource,8,15,0,0,4,5,2,3,2,3
13,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,BaseConfigSource,13,31,0,2,2,10,0,4,0,3
14,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ProxyConfigurationLifecycle,4,41,1,1,0,9,1,3,0,3
15,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,LocalJndiConfigSource,27,24,1,1,7,8,3,4,2,4
16,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,PropertyFileConfigSource,0,15,0,0,0,5,0,2,0,2
17,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigurationExtension,208,473,31,43,46,117,24,32,0,19
18,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,EnvironmentPropertyConfigSource,5,24,3,1,1,8,3,3,1,3
19,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,DeltaSpikeConfigInfo,439,6,16,0,73,3,14,1,6,1
20,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigResolverContext,11,41,0,0,4,13,3,5,3,5
21,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigurationExtension.DynamicBeanProducer,0,9,0,0,0,2,0,2,0,2
22,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,PropertiesConfigSource,0,40,0,2,0,10,0,5,0,4
23,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,DefaultConfigSourceProvider,14,119,2,6,2,30,2,7,0,5
24,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ProxyConfigurationLifecycle.ConfigurationHandler.new ProxyConfigurationLifecycle.Supplier() {...},0,17,0,0,0,2,0,2,0,2
25,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ProxyConfigurationLifecycle.ConfigurationHandler.new BaseConfigPropertyProducer() {...},0,6,0,0,0,1,0,1,0,1
26,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,TypedResolverImpl,98,837,23,114,15,209,23,73,0,27
27,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigProviderImpl,10,87,4,10,4,26,4,10,0,7
28,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigImpl.new Comparator() {...},0,28,0,4,0,6,0,4,0,2
29,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.lock,LockSupplierStorage,28,130,4,12,6,29,4,7,0,3
30,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.lock,DefaultLockedStrategy,0,16,0,0,0,4,0,2,0,2
