,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
0,Apache DeltaSpike BeanValidation-Module Impl,org.apache.deltaspike.beanvalidation.impl,CDIAwareConstraintValidatorFactory,123,29,22,2,24,9,14,2,2,2
1,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.component.window,DisableClientWindowComponent,3,0,0,0,1,0,1,0,1,0
2,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.component.window,WindowIdComponent,3,0,0,0,1,0,1,0,1,0
3,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.component.window,DisableClientWindowHtmlRenderer,83,0,16,0,26,0,13,0,5,0
4,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.component.window,WindowIdHtmlRenderer,194,0,18,0,43,0,13,0,4,0
5,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection.proxy,ConverterAndValidatorProxyExtension,251,0,42,0,56,0,31,0,10,0
6,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection.proxy,ConverterInvocationHandler,14,0,0,0,3,0,2,0,2,0
7,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection.proxy,ValidatorInvocationHandler,14,0,0,0,3,0,2,0,2,0
8,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection.proxy,DefaultPartialStateHolder,24,0,0,0,11,0,8,0,8,0
9,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection.proxy,ConverterAndValidatorProxyFactory,69,0,6,0,18,0,9,0,6,0
10,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.action,DeltaSpikeActionListener,30,0,2,0,9,0,4,0,3,0
11,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.component.token,PostRequestTokenComponent,32,0,4,0,7,0,4,0,2,0
12,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.component.token,RequestTokenHtmlRenderer,67,0,6,0,18,0,6,0,3,0
13,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.exception.control,BridgeExceptionHandlerWrapper,164,0,28,0,51,0,20,0,6,0
14,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigExtension,754,0,88,0,180,0,68,0,24,0
15,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultFolderConfigDescriptor,12,0,0,0,4,0,2,0,2,0
16,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigResolverProducer,59,0,6,0,16,0,8,0,5,0
17,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigExtension.new ViewConfigExtension.VetoCallback() {...},7,0,0,0,2,0,2,0,2,0
18,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigExtension.new ViewConfigExtension.VetoCallback() {...},13,0,0,0,3,0,2,0,2,0
19,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultViewConfigResolver,483,0,50,0,106,0,35,0,10,0
20,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewControllerActionListener,32,0,2,0,10,0,3,0,2,0
21,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,PageViewConfigNode,11,0,0,0,4,0,2,0,2,0
22,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultConfigNodeConverter,583,0,78,0,132,0,50,0,11,0
23,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultErrorViewAwareExceptionHandlerWrapper,153,0,28,0,48,0,20,0,6,0
24,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,AbstractConfigNode,73,0,4,0,20,0,10,0,8,0
25,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultViewConfigInheritanceStrategy,320,0,54,0,72,0,35,0,8,0
26,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultViewPathConfigDescriptor,15,0,0,0,5,0,3,0,3,0
27,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,FolderConfigNode,65,0,4,0,14,0,5,0,3,0
28,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,AbstractPathConfigDescriptor,138,0,20,0,31,0,20,0,10,0
29,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigPathValidator,175,0,16,0,42,0,15,0,7,0
30,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.view,DeltaSpikeViewHandler,80,0,8,0,22,0,11,0,7,0
31,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,JsfUtils,605,0,92,0,122,0,64,0,18,0
32,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,RequestParameter,19,0,0,0,7,0,4,0,4,0
33,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,ClientWindowHelper.RequestParameters,6,0,0,0,1,0,1,0,1,0
34,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,ClientWindowHelper,229,0,20,0,49,0,20,0,10,0
35,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,ViewControllerUtils,19,0,4,0,7,0,4,0,2,0
