GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki,TWikiSinkFactory,8,0,0,0,2,0,2,0,2,0
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki,TWikiSink,256,695,35,22,101,248,56,108,30,104
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki,TWikiSiteModule,6,0,0,0,2,0,1,0,1,0
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki,TWikiParser,86,233,8,18,25,54,7,11,1,4
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki,TWikiMarkup,0,5,0,0,0,1,0,1,0,1
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki,TWikiMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,SectionBlockParser,27,131,4,18,4,28,4,15,0,8
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,TextParser,71,618,12,56,11,114,11,38,1,14
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,VerbatimBlock,7,4,0,0,4,2,2,1,2,1
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,HRuleBlockParser,5,53,2,6,1,17,2,6,0,4
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,GenericListBlockParser.new GenericListBlockParser.Type() {...},0,10,0,0,0,3,0,3,0,3
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,GenericListBlockParser.new GenericListBlockParser.Type() {...},6,5,0,0,1,2,1,2,1,2
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,TableCellHeaderBlock,6,4,0,0,4,2,2,1,2,1
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,UnorderedListBlock,6,4,0,0,4,2,2,1,2,1
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,GenericListBlockParser.new GenericListBlockParser.Type() {...},0,11,0,0,0,3,0,3,0,3
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,GenericListBlockParser.new GenericListBlockParser.Type() {...},6,5,0,0,1,2,1,2,1,2
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,GenericListBlockParser.new GenericListBlockParser.Type() {...},0,11,0,0,0,3,0,3,0,3
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,GenericListBlockParser.new GenericListBlockParser.Type() {...},0,11,0,0,0,3,0,3,0,3
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,SectionBlock,168,38,3,5,34,10,10,5,8,3
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,ListBlock,0,4,0,0,0,2,0,1,0,1
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,BoldBlock,6,4,0,0,4,2,2,1,2,1
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,ImageBlock,29,27,3,3,9,10,5,2,2,2
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,ListItemBlock,25,82,11,13,7,21,11,8,2,5
