GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: Core,org.apache.maven.doxia.macro,MacroRequest,4,20,0,0,2,7,1,4,1,4
Doxia :: Core,org.apache.maven.doxia.macro,MacroExecutionException,9,0,0,0,4,0,2,0,2,0
Doxia :: Core,org.apache.maven.doxia.macro,Macro,0,7,0,0,0,2,0,1,0,1
Doxia :: Core,org.apache.maven.doxia.macro,EchoMacro,0,57,0,6,0,10,0,5,0,2
Doxia :: Core,org.apache.maven.doxia.macro,SwfMacro,13,300,15,31,4,67,13,12,0,2
Doxia :: Core,org.apache.maven.doxia.macro,AbstractMacro,4,66,2,8,2,17,2,8,0,5
Doxia :: Core,org.apache.maven.doxia,DefaultDoxia,25,0,0,0,6,0,3,0,3,0
Doxia :: Core,org.apache.maven.doxia,Doxia,4,0,0,0,1,0,1,0,1,0
Doxia :: Core,org.apache.maven.doxia.module.site,SiteModule,4,0,0,0,1,0,1,0,1,0
Doxia :: Core,org.apache.maven.doxia.module.site,AbstractSiteModule,27,0,0,0,10,0,5,0,5,0
Doxia :: Core,org.apache.maven.doxia.module.site.manager,DefaultSiteModuleManager,58,0,6,0,12,0,6,0,3,0
Doxia :: Core,org.apache.maven.doxia.module.site.manager,SiteModuleNotFoundException,13,0,0,0,6,0,3,0,3,0
Doxia :: Core,org.apache.maven.doxia.module.site.manager,SiteModuleManager,4,0,0,0,1,0,1,0,1,0
Doxia :: Core,org.apache.maven.doxia.sink,SinkEventAttributeSet,0,514,1,43,0,106,1,47,0,26
Doxia :: Core,org.apache.maven.doxia.sink,AbstractSink,25,55,7,7,5,15,5,7,0,5
Doxia :: Core,org.apache.maven.doxia.sink,AbstractXmlSink,0,131,0,10,0,38,0,15,0,10
Doxia :: Core,org.apache.maven.doxia.sink,AbstractBinarySinkFactory,59,0,6,0,11,0,7,0,4,0
Doxia :: Core,org.apache.maven.doxia.sink,RandomAccessSink,639,153,1,5,256,41,122,10,121,8
Doxia :: Core,org.apache.maven.doxia.sink,PipelineSink,46,0,2,0,10,0,5,0,4,0
Doxia :: Core,org.apache.maven.doxia.sink,XhtmlBaseSink,463,1751,88,161,107,518,104,154,19,113
Doxia :: Core,org.apache.maven.doxia.sink,SinkUtils,0,478,2,22,0,64,2,15,0,5
Doxia :: Core,org.apache.maven.doxia.sink,AbstractTextSink,3,0,0,0,1,0,1,0,1,0
Doxia :: Core,org.apache.maven.doxia.sink,AbstractTextSinkFactory,55,12,6,0,10,2,6,2,3,2
Doxia :: Core,org.apache.maven.doxia.sink,SinkAdapter,11,312,5,39,1,195,4,142,0,124
