,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
0,Doxia :: XHTML Module,org.apache.maven.doxia.module.xhtml,XhtmlSinkFactory,16,0,0,0,3,0,3,0,3,0
1,Doxia :: XHTML Module,org.apache.maven.doxia.module.xhtml,AbstractXhtmlSink,3,0,0,0,1,0,1,0,1,0
2,Doxia :: XHTML Module,org.apache.maven.doxia.module.xhtml,XhtmlParser,51,262,3,43,6,64,3,24,0,4
3,Doxia :: XHTML Module,org.apache.maven.doxia.module.xhtml,XhtmlSink,6,184,1,9,2,59,1,17,0,13
4,Doxia :: XHTML Module,org.apache.maven.doxia.module.xhtml,XhtmlSiteModule,6,0,0,0,2,0,1,0,1,0
5,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocParser,95,738,10,106,16,175,10,61,0,13
6,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XmlWriterXdocSink,87,0,4,0,21,0,5,0,3,0
7,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup,0,33,0,0,0,8,0,1,0,1
8,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocSiteModule,6,0,0,0,2,0,1,0,1,0
9,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
10,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
11,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
12,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
13,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
14,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
15,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
16,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocSinkFactory,16,0,0,0,3,0,3,0,3,0
17,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
18,Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocSink,11,481,4,48,4,142,5,46,1,24
19,Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RomanNumerals,212,0,6,0,12,0,7,0,4,0
