GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Codec,org.apache.commons.codec.language,ColognePhonetic,5,566,6,80,3,87,6,45,0,8
Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneBuffer,0,44,0,0,0,11,0,4,0,4
Commons Codec,org.apache.commons.codec.language,Metaphone,4,712,14,146,3,183,14,87,0,12
Commons Codec,org.apache.commons.codec.language,SoundexUtils,0,92,0,18,0,21,0,13,0,4
Commons Codec,org.apache.commons.codec.language,DoubleMetaphone,39,2488,39,399,9,459,37,238,0,45
Commons Codec,org.apache.commons.codec.language,Soundex,7,226,2,32,3,48,4,26,2,11
Commons Codec,org.apache.commons.codec.language,Caverphone,38,0,2,0,9,0,6,0,5,0
Commons Codec,org.apache.commons.codec.language,AbstractCaverphone,0,24,0,2,0,6,0,4,0,3
Commons Codec,org.apache.commons.codec.language,Caverphone2,0,316,0,4,0,64,0,4,0,2
Commons Codec,org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,0,151,0,12,0,39,0,18,0,12
Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneInputBuffer,19,45,0,0,3,11,1,5,1,5
Commons Codec,org.apache.commons.codec.language,Caverphone1,0,301,0,4,0,61,0,4,0,2
Commons Codec,org.apache.commons.codec.language,Nysiis,0,464,0,74,0,87,0,46,0,9
Commons Codec,org.apache.commons.codec.language,RefinedSoundex,0,125,1,13,0,36,1,15,0,9
Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneOutputBuffer,0,33,0,0,0,9,0,3,0,3
Commons Codec,org.apache.commons.codec.digest,Sha2Crypt,15,771,3,37,3,129,3,24,0,7
Commons Codec,org.apache.commons.codec.digest,Crypt,0,50,0,8,0,13,0,9,0,5
Commons Codec,org.apache.commons.codec.digest,Md5Crypt,0,337,1,27,0,70,1,21,0,8
Commons Codec,org.apache.commons.codec.digest,B64,0,63,0,4,0,11,0,5,0,3
Commons Codec,org.apache.commons.codec.digest,UnixCrypt,6,5564,1,27,1,273,2,26,1,13
Commons Codec,org.apache.commons.codec.digest,DigestUtils,9,226,0,2,3,61,3,53,3,52
Commons Codec,org.apache.commons.codec.binary,BaseNCodec.Context,58,3,0,0,3,2,1,1,1,1
Commons Codec,org.apache.commons.codec.binary,Base32OutputStream,0,24,0,0,0,6,0,3,0,3
Commons Codec,org.apache.commons.codec.binary,StringUtils,0,121,0,8,0,28,0,22,0,18
Commons Codec,org.apache.commons.codec.binary,Base32,129,2221,12,59,12,168,12,37,0,9
Commons Codec,org.apache.commons.codec.binary,Base64InputStream,0,24,0,0,0,6,0,3,0,3
Commons Codec,org.apache.commons.codec.binary,BinaryCodec,0,335,0,50,0,59,0,38,0,13
Commons Codec,org.apache.commons.codec.binary,BaseNCodec,1,388,2,56,0,77,2,46,0,19
Commons Codec,org.apache.commons.codec.binary,Hex,6,367,1,13,1,50,2,22,1,16
Commons Codec,org.apache.commons.codec.binary,BaseNCodecOutputStream,0,152,1,21,0,40,1,16,0,6
Commons Codec,org.apache.commons.codec.binary,Base64OutputStream,0,24,0,0,0,6,0,3,0,3
Commons Codec,org.apache.commons.codec.binary,BaseNCodecInputStream,13,194,1,33,3,44,3,22,2,6
Commons Codec,org.apache.commons.codec.binary,Base64,28,1898,7,95,4,171,8,72,1,26
Commons Codec,org.apache.commons.codec.binary,Base32InputStream,0,24,0,0,0,6,0,3,0,3
Commons Codec,org.apache.commons.codec,StringEncoderComparator,6,30,0,0,3,10,1,2,1,2
Commons Codec,org.apache.commons.codec,CharEncoding,0,3,0,0,0,1,0,1,0,1
Commons Codec,org.apache.commons.codec,DecoderException,0,16,0,0,0,8,0,4,0,4
Commons Codec,org.apache.commons.codec,EncoderException,0,16,0,0,0,8,0,4,0,4
Commons Codec,org.apache.commons.codec,Charsets,5,30,1,3,1,8,2,4,1,3
Commons Codec,org.apache.commons.codec.net,BCodec,27,117,2,18,7,39,3,21,1,13
Commons Codec,org.apache.commons.codec.net,QCodec,27,333,2,40,7,100,3,35,1,16
Commons Codec,org.apache.commons.codec.net,Utils,0,24,0,2,0,5,0,3,0,2
Commons Codec,org.apache.commons.codec.net,QuotedPrintableCodec,4,317,0,40,1,83,1,38,1,18
Commons Codec,org.apache.commons.codec.net,URLCodec,3,339,0,46,1,86,1,37,1,14
Commons Codec,org.apache.commons.codec.net,RFC1522Codec,8,168,2,16,2,38,2,11,0,4
Commons Codec,org.apache.commons.codec.language.bm,Languages.SomeLanguages,5,76,1,7,2,17,2,10,1,7
Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine,47,631,6,34,7,99,6,28,1,12
Commons Codec,org.apache.commons.codec.language.bm,Languages.new Languages.LanguageSet() {...},13,5,0,0,5,2,5,2,5,2
Commons Codec,org.apache.commons.codec.language.bm,Languages.new Languages.LanguageSet() {...},5,13,0,0,1,6,1,6,1,6
Commons Codec,org.apache.commons.codec.language.bm,RuleType,0,48,0,0,0,11,0,3,0,3
Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine.RulesApplication,5,86,1,7,1,25,1,8,0,5
Commons Codec,org.apache.commons.codec.language.bm,NameType,0,48,0,0,0,11,0,3,0,3
Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,15,0,0,0,4,0,2,0,2
Commons Codec,org.apache.commons.codec.language.bm,Rule.Phoneme,0,61,0,0,0,12,0,7,0,7
Commons Codec,org.apache.commons.codec.language.bm,BeiderMorseEncoder,0,109,0,4,0,31,0,12,0,10
Commons Codec,org.apache.commons.codec.language.bm,Rule.PhonemeList,0,9,0,0,0,4,0,2,0,2
Commons Codec,org.apache.commons.codec.language.bm,ResourceConstants,3,0,0,0,1,0,1,0,1,0
Commons Codec,org.apache.commons.codec.language.bm,Lang.LangRule,0,18,0,0,0,6,0,2,0,2
Commons Codec,org.apache.commons.codec.language.bm,Languages.LanguageSet,0,14,0,2,0,2,0,3,0,2
Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine.new CharSequence() {...},5,46,0,4,1,9,1,5,1,3
Commons Codec,org.apache.commons.codec.language.bm,Rule.Phoneme.new Comparator() {...},0,44,0,8,0,10,0,6,0,2
Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine.PhonemeBuilder,0,126,0,14,0,23,0,13,0,6
Commons Codec,org.apache.commons.codec.language.bm,Languages,0,128,0,14,0,29,0,13,0,6
Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,28,0,4,0,3,0,4,0,2
Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,11,0,0,0,2,0,2,0,2
Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,11,0,0,0,2,0,2,0,2
Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,25,0,4,0,2,0,4,0,2
Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,26,0,4,0,2,0,4,0,2
Commons Codec,org.apache.commons.codec.language.bm,Lang,29,209,3,25,4,48,3,17,1,5
Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule() {...},31,13,0,0,6,3,1,1,1,1
Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,5,0,0,0,2,0,2,0,2
Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,11,0,0,0,2,0,2,0,2
Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,10,0,2,0,2,0,3,0,2
Commons Codec,org.apache.commons.codec.language.bm,Rule,106,790,10,106,13,159,12,66,2,18
,,,706,22382,121,1628,,,,,,
,,statement,0.969421344,,,,,,,,,
,,branch,0.93081761,,,,,,,,,
