,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
0,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.mock,AbstractMockManager,28,117,5,19,6,24,5,11,1,3
1,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.mock,BeanCacheKey.AnnotationComparator,163,50,40,6,37,15,23,2,0,2
2,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.mock,BeanCacheKey,123,127,30,18,23,29,22,11,1,8
3,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.mock,SimpleMockManager,0,18,0,2,0,5,0,3,0,2
4,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.mock,MockAwareInjectionTargetWrapper,0,83,0,4,0,24,0,9,0,7
5,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.mock,DefaultMockFilter,61,191,23,33,13,41,19,18,1,8
6,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.mock,MockExtension,3,232,5,29,3,51,5,17,0,5
7,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.mock,SimpleApplicationMockManager,0,3,0,0,0,1,0,1,0,1
8,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.mock,MockAwareProducerWrapper,6,61,2,2,2,16,2,4,0,4
9,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.request,ContextControlDecorator,83,51,13,9,22,13,10,8,1,6
10,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.validation,StandardContextTestControlValidator,46,84,6,10,4,26,5,10,0,7
11,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.jsf,MockedJsfTestContainerAdapter,50,0,8,0,17,0,10,0,6,0
12,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.jsf,MyFacesTestBaseConfig,0,12,0,0,0,5,0,1,0,1
13,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.jsf,MockedJsf2TestContainer,34,363,8,14,6,104,9,24,1,21
14,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.jsf,MyFacesContainerAdapter.new MyFacesContainer() {...},23,60,4,2,4,14,3,4,0,4
15,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.jsf,MyFacesContainerPerTestMethodAdapter,2,45,0,2,1,16,1,9,1,8
16,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.jsf,MyFacesContainerAdapter,15,103,4,10,3,27,5,13,1,10
17,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.transaction,TransactionStatementDecoratorFactory.TransactionAwareRunAfters,65,94,11,9,20,23,8,5,0,3
18,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.transaction,TransactionStatementDecoratorFactory,2,25,0,0,1,7,1,4,1,4
19,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,JobQuartzScheduler,2,3,0,0,1,1,1,1,1,1
20,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,SchedulerBaseConfig,0,10,0,0,0,4,0,1,0,1
21,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,SchedulerBaseConfig.JobCustomization,0,37,0,0,0,17,0,1,0,1
22,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,AbstractQuartzScheduler,622,16,54,0,165,4,44,2,17,2
23,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,SchedulerProducer,0,7,0,0,0,2,0,2,0,2
24,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,JobRunnableAdapter,30,0,0,0,9,0,2,0,2,0
25,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,RunnableQuartzScheduler,16,3,0,0,6,1,3,1,3,1
26,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,CdiAwareJobFactory,42,0,2,0,13,0,3,0,2,0
27,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,SchedulerBaseConfig.LifecycleIntegration,0,35,0,0,0,15,0,1,0,1
28,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,AbstractQuartzScheduler.JobListenerContext,65,0,8,0,15,0,7,0,3,0
29,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,SchedulerExtension,123,269,28,34,28,64,23,19,0,11
30,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,QuartzSchedulerProducer,6,0,0,0,2,0,2,0,2,0
31,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,AbstractQuartzScheduler.InjectionAwareJobListener,82,0,10,0,29,0,11,0,6,0
32,Apache DeltaSpike Scheduler-Module Impl,org.apache.deltaspike.scheduler.impl,DynamicExpressionObserverJob,108,5,2,0,26,1,3,1,2,1
33,Apache DeltaSpike Data-Module API,org.apache.deltaspike.data.api,AbstractEntityRepository,3,0,0,0,1,0,1,0,1,0
34,Apache DeltaSpike Data-Module API,org.apache.deltaspike.data.api,QueryInvocationException,122,0,0,0,21,0,6,0,6,0
35,Apache DeltaSpike Data-Module API,org.apache.deltaspike.data.api,AbstractFullEntityRepository,3,0,0,0,1,0,1,0,1,0
36,Apache DeltaSpike Data-Module API,org.apache.deltaspike.data.api,EntityGraphType,37,0,0,0,7,0,3,0,3,0
37,Apache DeltaSpike Data-Module API,org.apache.deltaspike.data.api,SingleResultType,34,0,0,0,4,0,1,0,1,0
38,Apache DeltaSpike Data-Module API,org.apache.deltaspike.data.api.mapping,SimpleQueryInOutMapperBase,46,75,4,12,10,18,6,9,2,5
39,Apache DeltaSpike BeanValidation-Module Impl,org.apache.deltaspike.beanvalidation.impl,CDIAwareConstraintValidatorFactory,123,29,22,2,24,9,14,2,2,2
40,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.spi.scope.window,ClientWindowConfig.ClientWindowRenderMode,54,0,0,0,6,0,1,0,1,0
41,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.spi.scope.window,DefaultClientWindowConfig,202,0,36,0,61,0,30,0,12,0
42,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.util,ValueExpressionEvaluationInputStream,33,215,9,27,6,49,7,15,0,4
43,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.util,NamingConventionUtils,92,0,18,0,20,0,11,0,2,0
44,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.literal,ViewLiteral,323,0,56,0,78,0,40,0,12,0
45,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.literal,FolderLiteral,111,0,24,0,32,0,18,0,6,0
46,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.AbstractNameBuilder,9,0,0,0,3,0,2,0,2,0
47,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.DefaultExtensionBuilder,19,0,4,0,6,0,4,0,2,0
48,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.DefaultBasePathBuilder,105,0,24,0,20,0,14,0,2,0
49,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.ViewParameterMode,34,0,0,0,2,0,1,0,1,0
50,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.DefaultFileNameBuilder,42,0,6,0,9,0,5,0,2,0
51,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,Folder.DefaultFolderNameBuilder,104,0,22,0,20,0,14,0,3,0
52,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.NavigationMode,34,0,0,0,2,0,1,0,1,0
53,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.ViewConfigPreProcessor,250,0,42,0,70,0,29,0,8,0
54,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,Folder.FolderConfigPreProcessor,86,0,12,0,28,0,10,0,4,0
55,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config,JsfModuleConfig,87,0,16,0,31,0,21,0,13,0
56,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.base,JsfBaseConfig.ScopeCustomization.WindowRestriction,25,0,0,0,11,0,1,0,1,0
57,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.base,JsfBaseConfig.ScopeCustomization.ViewDelegation,12,0,0,0,5,0,1,0,1,0
58,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.base,JsfBaseConfig.ViewConfigCustomization,33,0,0,0,13,0,1,0,1,0
59,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.listener.phase,JsfPhaseId,136,0,12,0,25,0,10,0,4,0
