GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: Core,org.apache.maven.doxia.macro,MacroRequest,4,20,0,0,2,7,1,4,1,4
Doxia :: Core,org.apache.maven.doxia.macro,MacroExecutionException,9,0,0,0,4,0,2,0,2,0
Doxia :: Core,org.apache.maven.doxia.macro,Macro,1,13,1,1,0,2,1,1,0,1
Doxia :: Core,org.apache.maven.doxia.macro,EchoMacro,0,57,0,6,0,11,0,5,0,2
Doxia :: Core,org.apache.maven.doxia.macro,SwfMacro,12,337,14,32,4,77,12,13,0,2
Doxia :: Core,org.apache.maven.doxia.macro,AbstractMacro,4,65,2,8,2,18,2,8,0,5
Doxia :: Core,org.apache.maven.doxia,DefaultDoxia,25,0,0,0,6,0,3,0,3,0
Doxia :: Core,org.apache.maven.doxia,Doxia,11,0,2,0,1,0,2,0,1,0
Doxia :: Core,org.apache.maven.doxia.module.site,SiteModule,11,0,2,0,1,0,2,0,1,0
Doxia :: Core,org.apache.maven.doxia.module.site,AbstractSiteModule,27,0,0,0,10,0,5,0,5,0
Doxia :: Core,org.apache.maven.doxia.module.site.manager,DefaultSiteModuleManager,57,0,6,0,13,0,6,0,3,0
Doxia :: Core,org.apache.maven.doxia.module.site.manager,SiteModuleNotFoundException,13,0,0,0,6,0,3,0,3,0
Doxia :: Core,org.apache.maven.doxia.module.site.manager,SiteModuleManager,11,0,2,0,1,0,2,0,1,0
Doxia :: Core,org.apache.maven.doxia.sink,SinkEventAttributeSet,0,516,1,43,0,106,1,47,0,26
Doxia :: Core,org.apache.maven.doxia.sink,AbstractSink,25,55,7,7,5,15,5,7,0,5
Doxia :: Core,org.apache.maven.doxia.sink,AbstractXmlSink,0,131,0,10,0,38,0,15,0,10
Doxia :: Core,org.apache.maven.doxia.sink,AbstractBinarySinkFactory,59,0,6,0,11,0,7,0,4,0
Doxia :: Core,org.apache.maven.doxia.sink,PipelineSink,60,0,6,0,12,0,7,0,4,0
Doxia :: Core,org.apache.maven.doxia.sink,XhtmlBaseSink,477,1758,91,160,110,526,107,152,19,113
Doxia :: Core,org.apache.maven.doxia.sink,SinkUtils,0,478,2,22,0,64,2,15,0,5
Doxia :: Core,org.apache.maven.doxia.sink,AbstractTextSink,3,0,0,0,1,0,1,0,1,0
Doxia :: Core,org.apache.maven.doxia.sink,AbstractTextSinkFactory,67,0,6,0,12,0,8,0,5,0
Doxia :: Core,org.apache.maven.doxia.sink,SinkAdapter,11,312,5,39,1,195,4,142,0,124
Doxia :: Core,org.apache.maven.doxia.sink,AbstractXmlSinkFactory,3,0,0,0,1,0,1,0,1,0
