GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,IncludeResourceTransformer,34,0,2,0,9,0,6,0,5,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ManifestResourceTransformer,87,0,12,0,22,0,11,0,5,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,DontIncludeResourceTransformer,41,0,10,0,12,0,10,0,5,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,PluginXmlResourceTransformer,349,0,50,0,71,0,36,0,11,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ServicesResourceTransformer,82,0,8,0,21,0,9,0,5,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,XmlAppendingTransformer,129,18,13,3,30,5,10,3,3,2
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ComponentsXmlResourceTransformer.new BufferedInputStream() {...},0,8,0,0,0,2,0,2,0,2
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,PluginXmlResourceTransformer.new BufferedInputStream() {...},8,0,0,0,2,0,2,0,2,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,XmlAppendingTransformer.new EntityResolver() {...},14,0,0,0,2,0,2,0,2,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ServicesResourceTransformer.ServiceStream,41,0,6,0,7,0,6,0,3,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,AppendingTransformer,38,20,3,3,9,5,5,3,3,2
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ApacheNoticeResourceTransformer,388,49,54,4,78,14,30,4,3,2
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ApacheLicenseResourceTransformer,4,20,0,4,3,3,3,4,3,2
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ComponentsXmlResourceTransformer,23,271,11,27,5,60,11,17,0,9
Maven Shade Plugin,org.apache.maven.plugins.shade.relocation,SimpleRelocator,44,271,13,39,8,53,10,26,1,9
Maven Shade Plugin,org.apache.maven.plugins.shade.relocation,Relocator,4,0,0,0,1,0,1,0,1,0
Maven Shade Plugin,org.apache.maven.plugins.shade.filter,MinijarFilter,366,0,26,0,75,0,22,0,9,0
Maven Shade Plugin,org.apache.maven.plugins.shade.filter,SimpleFilter,21,146,8,24,5,29,8,18,2,8
Maven Shade Plugin,org.apache.maven.plugins.shade.pom,MavenJDOMWriter,4903,0,534,0,921,0,335,0,68,0
Maven Shade Plugin,org.apache.maven.plugins.shade.pom,PomWriter,95,0,6,0,19,0,6,0,3,0
Maven Shade Plugin,org.apache.maven.plugins.shade.pom,MavenJDOMWriter.Counter,25,0,0,0,8,0,4,0,4,0
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,PackageRelocation,18,0,0,0,6,0,6,0,6,0
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,RelativizePath,2,128,1,17,1,24,1,10,0,2
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,ArtifactId,16,162,4,28,3,32,5,21,1,9
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,ArchiveFilter,0,12,0,0,0,4,0,4,0,4
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,ShadeMojo,1255,159,131,13,262,31,87,5,17,3
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,ArtifactSelector,41,99,10,18,6,18,7,13,2,4
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,ArtifactSet,9,0,0,0,3,0,3,0,3,0
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,HelpMojo,875,0,106,0,152,0,69,0,16,0
Maven Shade Plugin,org.apache.maven.plugins.shade,ShadingResult,3,0,0,0,1,0,1,0,1,0
Maven Shade Plugin,org.apache.maven.plugins.shade,Shader,0,4,0,0,0,1,0,1,0,1
Maven Shade Plugin,org.apache.maven.plugins.shade,DefaultShader,375,431,40,42,72,96,28,23,1,9
Maven Shade Plugin,org.apache.maven.plugins.shade,DefaultShader.RelocatorRemapper,49,126,4,14,8,31,4,9,0,4
Maven Shade Plugin,org.apache.maven.plugins.shade,ShadeRequest,4,41,0,0,2,17,1,12,1,12
,,,9343,1965,1052,236,,,,,,
,,statement,0.173770782,,,,,,,,,
,,branch,0.183229814,,,,,,,,,
