Complexity metrics,Sun, 24 Mar 2019 23:05:11 EDT
Method,ev(G),v(G)
"null.addEventListener(EventType<T>,EventListener<? super T>)",1,1
"null.getSynchronizer()",1,1
"null.interpolate(Object)",1,1
"null.lock(LockMode)",1,1
"null.matches(T,NodeHandler<T>,String)",1,1
"null.onEvent(ConfigurationBuilderEvent)",1,1
"null.removeEventListener(EventType<T>,EventListener<? super T>)",1,1
"null.setSynchronizer(Synchronizer)",1,1
"null.transformValue(Object)",1,1
"null.unlock(LockMode)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.AbstractConfiguration()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.addErrorLogListener()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.addProperty(String,Object)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.addPropertyInternal(String,Object)",1,2
"org.apache.commons.configuration2.AbstractConfiguration.append(Configuration)",1,3
"org.apache.commons.configuration2.AbstractConfiguration.beginRead(boolean)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.beginWrite(boolean)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.checkDefaultValueArray(Class<?>,Object)",2,4
"org.apache.commons.configuration2.AbstractConfiguration.checkNonNullValue(String,T)",1,2
"org.apache.commons.configuration2.AbstractConfiguration.clear()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.clearInternal()",1,7
"org.apache.commons.configuration2.AbstractConfiguration.clearProperty(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.cloneInterpolator(AbstractConfiguration)",1,2
"org.apache.commons.configuration2.AbstractConfiguration.containsKey(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.convert(Class<T>,String,T,boolean)",3,5
"org.apache.commons.configuration2.AbstractConfiguration.convertToArray(Class<?>,String,Object)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.copy(Configuration)",1,3
"org.apache.commons.configuration2.AbstractConfiguration.encodeForCopy(Object)",2,2
"org.apache.commons.configuration2.AbstractConfiguration.encodeListForCopy(Collection<?>)",1,2
"org.apache.commons.configuration2.AbstractConfiguration.endRead()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.endWrite()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.findConfigurationLookup(ConfigurationInterpolator)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.findConfigurationLookup(ConfigurationInterpolator,ImmutableConfiguration)",4,4
"org.apache.commons.configuration2.AbstractConfiguration.get(Class<T>,String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.get(Class<T>,String,T)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getAndConvertProperty(Class<T>,String,T)",1,2
"org.apache.commons.configuration2.AbstractConfiguration.getArray(Class<?>,String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getArray(Class<?>,String,Object)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getBigDecimal(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getBigDecimal(String,BigDecimal)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getBigInteger(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getBigInteger(String,BigInteger)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getBoolean(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getBoolean(String,Boolean)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getBoolean(String,boolean)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getByte(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getByte(String,Byte)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getByte(String,byte)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getCollection(Class<T>,String,Collection<T>)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getCollection(Class<T>,String,Collection<T>,Collection<T>)",2,3
"org.apache.commons.configuration2.AbstractConfiguration.getConfigurationDecoder()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getConversionHandler()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getDouble(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getDouble(String,Double)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getDouble(String,double)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getEncodedString(String)",2,2
"org.apache.commons.configuration2.AbstractConfiguration.getEncodedString(String,ConfigurationDecoder)",2,3
"org.apache.commons.configuration2.AbstractConfiguration.getFloat(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getFloat(String,Float)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getFloat(String,float)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getInt(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getInt(String,int)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getInteger(String,Integer)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getInterpolator()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getKeys()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getKeys(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getKeysInternal(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getList(Class<T>,String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getList(Class<T>,String,List<T>)",2,2
"org.apache.commons.configuration2.AbstractConfiguration.getList(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getList(String,List<?>)",6,7
"org.apache.commons.configuration2.AbstractConfiguration.getListDelimiterHandler()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getLogger()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getLong(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getLong(String,Long)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getLong(String,long)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getProperties(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getProperties(String,Properties)",4,6
"org.apache.commons.configuration2.AbstractConfiguration.getProperty(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getShort(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getShort(String,Short)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getShort(String,short)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getString(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.getString(String,String)",1,2
"org.apache.commons.configuration2.AbstractConfiguration.getStringArray(String)",1,2
"org.apache.commons.configuration2.AbstractConfiguration.getSynchronizer()",1,2
"org.apache.commons.configuration2.AbstractConfiguration.handleDefaultCollection(Collection<T>,Collection<T>)",2,3
"org.apache.commons.configuration2.AbstractConfiguration.immutableSubset(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.initLogger(ConfigurationLogger)",1,2
"org.apache.commons.configuration2.AbstractConfiguration.installDefaultInterpolator()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.installInterpolator(Map<String, ? extends Lookup>,Collection<? extends Lookup>)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.interpolate(Object)",1,2
"org.apache.commons.configuration2.AbstractConfiguration.interpolate(String)",1,2
"org.apache.commons.configuration2.AbstractConfiguration.interpolatedConfiguration()",1,2
"org.apache.commons.configuration2.AbstractConfiguration.isEmpty()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.isScalarValue(Object)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.isThrowExceptionOnMissing()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.lock(LockMode)",2,4
"org.apache.commons.configuration2.AbstractConfiguration.setConfigurationDecoder(ConfigurationDecoder)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.setConversionHandler(ConversionHandler)",2,2
"org.apache.commons.configuration2.AbstractConfiguration.setDefaultLookups(Collection<? extends Lookup>)",1,4
"org.apache.commons.configuration2.AbstractConfiguration.setInterpolator(ConfigurationInterpolator)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.setListDelimiterHandler(ListDelimiterHandler)",2,2
"org.apache.commons.configuration2.AbstractConfiguration.setLogger(ConfigurationLogger)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.setParentInterpolator(ConfigurationInterpolator)",1,3
"org.apache.commons.configuration2.AbstractConfiguration.setPrefixLookups(Map<String, ? extends Lookup>)",1,3
"org.apache.commons.configuration2.AbstractConfiguration.setProperty(String,Object)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.setPropertyInternal(String,Object)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.setSynchronizer(Synchronizer)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.setThrowExceptionOnMissing(boolean)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.size()",1,1
"org.apache.commons.configuration2.AbstractConfiguration.sizeInternal()",1,2
"org.apache.commons.configuration2.AbstractConfiguration.subset(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.throwMissingPropertyException(String)",1,1
"org.apache.commons.configuration2.AbstractConfiguration.unlock(LockMode)",2,4
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.AbstractHierarchicalConfiguration(NodeModel<T>)",1,1
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedKeysVisitor.DefinedKeysVisitor()",1,1
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedKeysVisitor.DefinedKeysVisitor(String)",1,1
