Complexity metrics,Sun, 24 Mar 2019 23:16:23 EDT
Method,ev(G),v(G)
"null.change()",1,1
"null.clear()",1,1
"null.close()",1,1
"null.contains(Object)",1,1
"null.convert(String)",1,1
"null.createNamedQuery(String)",1,1
"null.createNamedQuery(String,Class<T>)",1,1
"null.createNativeQuery(String)",1,1
"null.createNativeQuery(String,Class)",1,1
"null.createNativeQuery(String,String)",1,1
"null.createQuery(CriteriaQuery<T>)",1,1
"null.createQuery(String)",1,1
"null.createQuery(String,Class<T>)",1,1
"null.detach(Object)",1,1
"null.find(Class<T>,Object)",1,1
"null.find(Class<T>,Object,LockModeType)",1,1
"null.find(Class<T>,Object,LockModeType,Map<String, Object>)",1,1
"null.find(Class<T>,Object,Map<String, Object>)",1,1
"null.flush()",1,1
"null.getCriteriaBuilder()",1,1
"null.getDelegate()",1,1
"null.getEntityManagerFactory()",1,1
"null.getFlushMode()",1,1
"null.getLockMode(Object)",1,1
"null.getMetamodel()",1,1
"null.getProperties()",1,1
"null.getReference(Class<T>,Object)",1,1
"null.getTransaction()",1,1
"null.initialValue()",1,1
"null.isOpen()",1,1
"null.joinTransaction()",1,1
"null.lock(Object,LockModeType)",1,1
"null.lock(Object,LockModeType,Map<String, Object>)",1,1
"null.matches(String)",1,1
"null.merge(T)",1,1
"null.persist(Object)",1,1
"null.refresh(Object)",1,1
"null.refresh(Object,LockModeType)",1,1
"null.refresh(Object,LockModeType,Map<String, Object>)",1,1
"null.refresh(Object,Map<String, Object>)",1,1
"null.remove(Object)",1,1
"null.removePrefix(String)",1,1
"null.setFlushMode(FlushModeType)",1,1
"null.setProperty(String,Object)",1,1
"null.unwrap(Class<T>)",1,1
"org.apache.deltaspike.beanvalidation.impl.CDIAwareConstraintValidatorFactory.CDIAwareConstraintValidatorFactory()",1,2
"org.apache.deltaspike.beanvalidation.impl.CDIAwareConstraintValidatorFactory.getInstance(Class<T>)",1,3
"org.apache.deltaspike.beanvalidation.impl.CDIAwareConstraintValidatorFactory.lazyInit()",5,8
"org.apache.deltaspike.beanvalidation.impl.CDIAwareConstraintValidatorFactory.releaseInstance(ConstraintValidator<?, ?>)",1,3
"org.apache.deltaspike.beanvalidation.test.ArchiveUtils.getDeltaSpikeCore()",1,1
"org.apache.deltaspike.beanvalidation.test.ArrayChecker.checkArray(ArraySize,String[])",2,3
"org.apache.deltaspike.beanvalidation.test.BasicPojo.getValue()",1,1
"org.apache.deltaspike.beanvalidation.test.BasicPojo.setValue(String[])",1,1
"org.apache.deltaspike.beanvalidation.test.InjectableConstraintValidator.initialize(ArraySize)",1,1
"org.apache.deltaspike.beanvalidation.test.InjectableConstraintValidator.isValid(String[],ConstraintValidatorContext)",1,1
"org.apache.deltaspike.beanvalidation.test.InjectedValidationTest.createArchive()",1,1
"org.apache.deltaspike.beanvalidation.test.InjectedValidationTest.initValidator()",1,1
"org.apache.deltaspike.beanvalidation.test.InjectedValidationTest.testValidate()",1,2
"org.apache.deltaspike.core.api.config.ConfigResolver.ConfigResolver()",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.addConfigFilter(ConfigFilter)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.addConfigSources(List<ConfigSource>)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.filterConfigValue(String,String)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.filterConfigValueForLog(String,String)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.freeConfigSources()",1,2
"org.apache.deltaspike.core.api.config.ConfigResolver.getAllProperties()",1,3
"org.apache.deltaspike.core.api.config.ConfigResolver.getAllPropertyValues(String)",1,4
"org.apache.deltaspike.core.api.config.ConfigResolver.getConfig()",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.getConfig(ClassLoader)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.getConfigFilters()",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.getConfigProvider()",5,5
"org.apache.deltaspike.core.api.config.ConfigResolver.getConfigSources()",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.getProjectStageAwarePropertyValue(String)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.getProjectStageAwarePropertyValue(String,String)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.getPropertyAwarePropertyValue(String,String)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.getPropertyAwarePropertyValue(String,String,String)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.getPropertyValue(String)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.getPropertyValue(String,String)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.getPropertyValue(String,String,boolean)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.getPropertyValue(String,boolean)",1,1
"org.apache.deltaspike.core.api.config.ConfigResolver.resolve(String)",1,1
"org.apache.deltaspike.core.api.config.PropertyLoader.PropertyLoader()",1,1
"org.apache.deltaspike.core.api.config.PropertyLoader.fillProperties(List<Properties>,URL)",1,3
"org.apache.deltaspike.core.api.config.PropertyLoader.getConfigurationOrdinal(Properties)",2,4
"org.apache.deltaspike.core.api.config.PropertyLoader.getProperties(String)",3,5
"org.apache.deltaspike.core.api.config.PropertyLoader.loadAllProperties(String)",2,7
"org.apache.deltaspike.core.api.config.PropertyLoader.mergeProperties(List<Properties>)",1,4
"org.apache.deltaspike.core.api.config.PropertyLoader.sortProperties(List<Properties>)",4,4
"org.apache.deltaspike.core.api.config.view.ViewRef.ViewRefInlineMetaDataTransformer.convertToViewMetaData(ViewRef,Class<?>)",1,2
"org.apache.deltaspike.core.api.config.view.ViewRef.ViewRefTargetViewConfigProvider.getTarget(ViewRef)",1,1
"org.apache.deltaspike.core.api.config.view.controller.ViewControllerRef.AnnotationPreProcessor.beforeAddToConfig(ViewControllerRef,ViewConfigNode)",1,1
"org.apache.deltaspike.core.api.config.view.controller.ViewControllerRef.Descriptor.Descriptor(Class<?>,Class<? extends Annotation>)",1,1
"org.apache.deltaspike.core.api.config.view.metadata.CallbackDescriptor.CallbackDescriptor(Class<?>,Class<? extends Annotation>)",1,1
"org.apache.deltaspike.core.api.config.view.metadata.CallbackDescriptor.CallbackDescriptor(Class<?>[],Class<? extends Annotation>)",1,1
"org.apache.deltaspike.core.api.config.view.metadata.CallbackDescriptor.CallbackEntry.CallbackEntry(Class<?>,Class<? extends Annotation>)",1,3
"org.apache.deltaspike.core.api.config.view.metadata.CallbackDescriptor.CallbackEntry.findMethodWithCallbackMarker(Class<? extends Annotation>,Class<?>,List<String>)",6,8
"org.apache.deltaspike.core.api.config.view.metadata.CallbackDescriptor.CallbackEntry.getBeanName()",1,1
"org.apache.deltaspike.core.api.config.view.metadata.CallbackDescriptor.CallbackEntry.getCallbackMethods()",1,1
"org.apache.deltaspike.core.api.config.view.metadata.CallbackDescriptor.CallbackEntry.getTargetBeanClass()",1,1
"org.apache.deltaspike.core.api.config.view.metadata.CallbackDescriptor.getCallbackMethods()",1,2
"org.apache.deltaspike.core.api.config.view.metadata.CallbackDescriptor.getTargetObject(Class<T>)",1,1
"org.apache.deltaspike.core.api.config.view.metadata.CallbackDescriptor.getTargetObjectByName(String)",1,1
