Complexity metrics,Sun, 31 Mar 2019 21:55:22 EDT
Method,ev(G),iv(G),v(G)
"null.createBlock(Block[])",1,1,1
"null.createList(ListItemBlock[])",1,1,1
"null.createSink(Writer,String)",1,1,1
"null.createSink(Writer,String,String)",1,1,1
"null.getItemPattern()",1,1,1
"null.toString()",1,1,1
"org.apache.maven.doxia.AbstractModuleTest.getBasedirFile()",1,1,1
"org.apache.maven.doxia.AbstractModuleTest.getTestReader(String)",1,1,1
"org.apache.maven.doxia.AbstractModuleTest.getTestReader(String,String)",1,1,1
"org.apache.maven.doxia.AbstractModuleTest.getTestWriter(String)",1,1,1
"org.apache.maven.doxia.AbstractModuleTest.getTestWriter(String,String)",1,2,2
"org.apache.maven.doxia.AbstractModuleTest.getTestWriterFile(String)",1,1,1
"org.apache.maven.doxia.AbstractModuleTest.getTestWriterFile(String,String)",1,1,1
"org.apache.maven.doxia.AbstractModuleTest.getXmlTestWriter(String)",1,1,1
"org.apache.maven.doxia.AbstractModuleTest.getXmlTestWriter(String,String)",1,2,2
"org.apache.maven.doxia.AbstractModuleTest.normalizeLineEnds(String)",2,2,2
"org.apache.maven.doxia.AbstractModuleTest.outputBaseDir()",1,1,1
"org.apache.maven.doxia.DefaultDoxia.getParser(String)",1,1,1
"org.apache.maven.doxia.DefaultDoxia.parse(Reader,String,Sink)",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.getAuthor(int)",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.getDocumentCover()",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.getDocumentHyperlinkBehaviour()",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.getDocumentMeta()",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.getDocumentStatistic()",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.getDocumentTemplate()",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.getDocumentToc()",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.getModel()",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.testDocumentModel()",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.verifyAuthor(DocumentAuthor,int)",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.verifyDocumentCover(DocumentCover)",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.verifyDocumentHyperlinkBehaviour(DocumentHyperlinkBehaviour)",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.verifyDocumentMeta(DocumentMeta)",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.verifyDocumentStatistic(DocumentStatistic)",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.verifyDocumentTOC(DocumentTOC)",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.verifyDocumentTemplate(DocumentTemplate)",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.verifyModel(DocumentModel)",1,1,1
"org.apache.maven.doxia.document.DocumentModelTest.writeAndRecover(DocumentModel)",1,3,3
"org.apache.maven.doxia.index.IndexEntry.IndexEntry(IndexEntry,String)",1,2,2
"org.apache.maven.doxia.index.IndexEntry.IndexEntry(String)",1,1,1
"org.apache.maven.doxia.index.IndexEntry.getChildEntries()",1,1,1
"org.apache.maven.doxia.index.IndexEntry.getFirstEntry()",2,1,2
"org.apache.maven.doxia.index.IndexEntry.getId()",1,1,1
"org.apache.maven.doxia.index.IndexEntry.getLastEntry()",2,1,2
"org.apache.maven.doxia.index.IndexEntry.getNextEntry()",3,1,3
"org.apache.maven.doxia.index.IndexEntry.getParent()",1,1,1
"org.apache.maven.doxia.index.IndexEntry.getPrevEntry()",3,1,3
"org.apache.maven.doxia.index.IndexEntry.getRootEntry()",3,3,3
"org.apache.maven.doxia.index.IndexEntry.getTitle()",1,1,1
"org.apache.maven.doxia.index.IndexEntry.setChildEntries(List<IndexEntry>)",1,1,2
"org.apache.maven.doxia.index.IndexEntry.setId(String)",1,1,1
"org.apache.maven.doxia.index.IndexEntry.setTitle(String)",1,1,1
"org.apache.maven.doxia.index.IndexEntry.toString()",1,1,1
"org.apache.maven.doxia.index.IndexEntry.toString(int)",1,4,4
"org.apache.maven.doxia.index.IndexEntryTest.assertIndexEntry(IndexEntry,IndexEntry,int,IndexEntry,IndexEntry)",1,1,1
"org.apache.maven.doxia.index.IndexEntryTest.testIndexEntry()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.IndexingSink(IndexEntry)",1,1,1
"org.apache.maven.doxia.index.IndexingSink.close()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.getTitle()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.init()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.peek()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.pop()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.push(IndexEntry)",1,1,1
"org.apache.maven.doxia.index.IndexingSink.pushNewEntry()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.section1()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.section1_()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.section2()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.section2_()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.section3()",1,1,1
