Complexity metrics,Sun, 31 Mar 2019 21:38:24 EDT
Method,ev(G),iv(G),v(G)
"org.apache.maven.plugins.shade.DefaultShader.RelocatorRemapper.RelocatorRemapper(List<Relocator>)",1,1,1
"org.apache.maven.plugins.shade.DefaultShader.RelocatorRemapper.hasRelocators()",1,1,1
"org.apache.maven.plugins.shade.DefaultShader.RelocatorRemapper.map(String)",3,4,4
"org.apache.maven.plugins.shade.DefaultShader.RelocatorRemapper.mapValue(Object)",5,6,6
"org.apache.maven.plugins.shade.DefaultShader.addDirectory(Set<String>,JarOutputStream,String)",1,3,3
"org.apache.maven.plugins.shade.DefaultShader.addJavaSource(Set<String>,JarOutputStream,String,InputStream,List<Relocator>)",1,2,2
"org.apache.maven.plugins.shade.DefaultShader.addRemappedClass(RelocatorRemapper,JarOutputStream,File,String,InputStream)",2,5,6
"org.apache.maven.plugins.shade.DefaultShader.addResource(Set<String>,JarOutputStream,String,long,InputStream)",1,1,1
"org.apache.maven.plugins.shade.DefaultShader.getFilters(File,List<Filter>)",1,3,3
"org.apache.maven.plugins.shade.DefaultShader.goThroughAllJarEntriesForManifestTransformer(ShadeRequest,Set<String>,ResourceTransformer,JarOutputStream)",5,6,6
"org.apache.maven.plugins.shade.DefaultShader.isFiltered(List<Filter>,String)",3,2,3
"org.apache.maven.plugins.shade.DefaultShader.logSummaryOfDuplicates(Multimap<Collection<File>, String>)",1,6,6
"org.apache.maven.plugins.shade.DefaultShader.newJarFile(File)",1,1,2
"org.apache.maven.plugins.shade.DefaultShader.resourceTransformed(List<ResourceTransformer>,String,InputStream,List<Relocator>)",3,3,3
"org.apache.maven.plugins.shade.DefaultShader.shade(ShadeRequest)",1,9,9
"org.apache.maven.plugins.shade.DefaultShader.shadeJars(ShadeRequest,Set<String>,List<ResourceTransformer>,RelocatorRemapper,JarOutputStream,Multimap<String, File>)",4,5,6
"org.apache.maven.plugins.shade.DefaultShader.shadeSingleJar(ShadeRequest,Set<String>,List<ResourceTransformer>,RelocatorRemapper,JarOutputStream,Multimap<String, File>,File,JarFile,JarEntry,String)",6,7,9
"org.apache.maven.plugins.shade.DefaultShader.showOverlappingWarning()",1,1,1
"org.apache.maven.plugins.shade.DefaultShaderTest.newShader()",1,1,1
"org.apache.maven.plugins.shade.DefaultShaderTest.shaderWithPattern(String,File,String[])",1,1,1
"org.apache.maven.plugins.shade.DefaultShaderTest.testShaderWithCustomShadedPattern()",1,1,1
"org.apache.maven.plugins.shade.DefaultShaderTest.testShaderWithDefaultShadedPattern()",1,1,1
"org.apache.maven.plugins.shade.DefaultShaderTest.testShaderWithRelocatedClassname()",1,1,1
"org.apache.maven.plugins.shade.DefaultShaderTest.testShaderWithStaticInitializedClass()",1,1,1
"org.apache.maven.plugins.shade.DefaultShaderTest.testShaderWithoutExcludesShouldRemoveReferencesOfOriginalPattern()",1,1,1
"org.apache.maven.plugins.shade.MockShader.shade(ShadeRequest)",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.getFilters()",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.getJars()",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.getRelocators()",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.getResourceTransformers()",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.getUberJar()",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.isShadeSourcesContent()",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.setFilters(List<Filter>)",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.setJars(Set<File>)",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.setRelocators(List<Relocator>)",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.setResourceTransformers(List<ResourceTransformer>)",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.setShadeSourcesContent(boolean)",1,1,1
"org.apache.maven.plugins.shade.ShadeRequest.setUberJar(File)",1,1,1
"org.apache.maven.plugins.shade.filter.MinijarFilter.MinijarFilter(MavenProject,Log)",1,1,1
"org.apache.maven.plugins.shade.filter.MinijarFilter.MinijarFilter(MavenProject,Log,List<SimpleFilter>)",1,3,3
"org.apache.maven.plugins.shade.filter.MinijarFilter.MinijarFilter(int,int,Log)",1,1,1
"org.apache.maven.plugins.shade.filter.MinijarFilter.addDependencyToClasspath(Clazzpath,Artifact)",1,3,3
"org.apache.maven.plugins.shade.filter.MinijarFilter.canFilter(File)",1,1,1
"org.apache.maven.plugins.shade.filter.MinijarFilter.finished()",1,2,2
"org.apache.maven.plugins.shade.filter.MinijarFilter.isFiltered(String)",2,2,2
"org.apache.maven.plugins.shade.filter.MinijarFilter.removePackages(ClazzpathUnit)",1,1,1
